clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
01001,Aguascalientes,Aguascalientes,948990,5269.663,10.925,13.582,0.922,0.741,0.81,0.821,0.38,,
01002,Aguascalientes,Asientos,51536,2999.667,7.766,11.936,0.817,0.59,0.724,0.704,0.33,,
01003,Aguascalientes,Calvillo,58250,3255.527,7.322,11.232,0.867,0.556,0.737,0.708,0.34,,
01004,Aguascalientes,Cosío,17000,3157.379,8.423,12.146,0.821,0.618,0.732,0.719,0.33,,
01005,Aguascalientes,Jesús María,129929,4709.145,9.964,12.343,0.893,0.675,0.793,0.782,0.37,,
01006,Aguascalientes,Pabellón de Arteaga,47646,4206.17,9.874,12.723,0.831,0.683,0.775,0.76,0.36,,
01007,Aguascalientes,Rincón de Romos,57369,3459.18,8.925,12.343,0.812,0.64,0.746,0.729,0.36,,
01008,Aguascalientes,San José de Gracia,9552,3023.96,8.594,11.531,0.916,0.607,0.726,0.739,0.33,,
01009,Aguascalientes,Tepezalá,22485,3055.737,7.938,11.73,0.899,0.59,0.727,0.728,0.33,,
01010,Aguascalientes,El Llano,20853,2829.331,7.436,11.326,0.819,0.562,0.716,0.691,0.33,,
01011,Aguascalientes,San Francisco de los Romo,61997,3489.817,9.34,11.407,0.764,0.628,0.747,0.71,0.34,,
02001,Baja California,Ensenada,443807,5463.295,10.105,13.284,0.83,0.706,0.815,0.782,0.35,,
02002,Baja California,Mexicali,1049792,5393.114,10.36,13.461,0.904,0.719,0.813,0.809,0.33,,
02003,Baja California,Tecate,108440,5210.949,9.375,12.738,0.828,0.666,0.808,0.764,0.33,,
02004,Baja California,Tijuana,1922523,5083.978,9.641,12.339,0.931,0.664,0.804,0.792,0.32,,
02005,Baja California,Playas de Rosarito,126890,4632.329,9.236,12.413,0.804,0.653,0.79,0.746,0.35,,
03001,Baja California Sur,Comondú,73021,4099.571,8.754,13.292,0.873,0.661,0.772,0.764,0.38,,
03002,Baja California Sur,Mulegé,64022,4833.579,8.944,11.884,0.878,0.628,0.796,0.76,0.35,,
03003,Baja California Sur,La Paz,292241,5518.404,10.758,13.966,0.89,0.747,0.816,0.815,0.36,,
03008,Baja California Sur,Los Cabos,351111,4732.882,9.981,12.779,0.89,0.688,0.793,0.786,0.37,,
03009,Baja California Sur,Loreto,18052,4229.607,9.34,12.534,0.854,0.659,0.776,0.759,0.39,,
04001,Campeche,Calkiní,59232,2781.943,8.791,13.973,0.829,0.681,0.713,0.739,0.41,,
04002,Campeche,Campeche,294077,4303.359,10.576,14.203,0.865,0.747,0.779,0.795,0.37,,
04003,Campeche,Carmen,248845,4865.157,10.351,13.596,0.885,0.723,0.797,0.799,0.41,,
04004,Campeche,Champotón,78170,2931.749,7.687,12.332,0.858,0.599,0.721,0.718,0.35,,
04005,Campeche,Hecelchakán,31917,2470.103,8.998,13.775,0.824,0.683,0.695,0.731,0.41,,
04006,Campeche,Hopelchén,42140,2016.828,6.783,9.479,0.82,0.489,0.664,0.643,0.41,,
04007,Campeche,Palizada,8683,2451.246,7.772,11.954,0.757,0.591,0.694,0.677,0.37,,
04008,Campeche,Tenabo,11452,3093.141,8.061,12.046,0.873,0.603,0.729,0.727,0.34,,
04009,Campeche,Escárcega,59923,2445.993,7.819,11.856,0.756,0.59,0.694,0.676,0.39,,
04010,Campeche,Calakmul,31714,1538.514,6.989,11.486,0.69,0.552,0.624,0.62,0.42,,
04011,Campeche,Candelaria,46913,1667.733,6.547,10.454,0.842,0.509,0.636,0.648,0.43,,
05001,Coahuila de Zaragoza,Abasolo,1022,4650.932,8.405,13.811,0.883,0.664,0.791,0.774,0.3,,
05002,Coahuila de Zaragoza,Acuña,163058,4540.691,9.081,12.391,0.894,0.647,0.787,0.769,0.3,,
05003,Coahuila de Zaragoza,Allende,23056,4497.02,9.072,10.76,0.861,0.601,0.786,0.741,0.33,,
05004,Coahuila de Zaragoza,Arteaga,29578,4379.409,8.788,11.974,0.846,0.626,0.782,0.745,0.39,,
05005,Coahuila de Zaragoza,Candela,1643,2912.503,6.963,10.841,0.826,0.533,0.72,0.682,0.34,,
05006,Coahuila de Zaragoza,Castaños,29128,3552.595,8.958,12.091,0.849,0.634,0.75,0.739,0.33,,
